case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,4.325,0.0,5.95319916943076e-211,5.9531991694307525e-211,1.7459034608655504e-197,-4.559193790376635e-190
base-broad,4.3500000000000005,0.0,4.953110086455843e-210,4.9531100864558365e-210,1.427046681062087e-196,-3.360054821422316e-189
base-broad,4.375,0.0,4.051219279925352e-209,4.0512192799253465e-209,1.1517062037128935e-195,-2.4462892109286943e-188
base-broad,4.4,0.0,3.2578369848397406e-208,3.257836984839736e-208,9.178932223762607e-195,-1.7596693474923938e-187
base-broad,4.425,0.0,2.5759905380232085e-207,2.5759905380232047e-207,7.225199680347694e-194,-1.2507596675092362e-186
base-broad,4.45,0.0,2.0028358277242262e-206,2.002835827724223e-206,5.617900616273452e-193,-8.786034636552668e-186
base-broad,4.4750000000000005,0.0,1.5311774414022284e-205,1.531177441402226e-205,4.315419532184922e-192,-6.100198212477184e-185
base-broad,4.5,0.0,1.1509421045200693e-204,1.1509421045200676e-204,3.275322346244045e-191,-4.1867958388713524e-184
base-broad,4.525,0.0,8.504922102105993e-204,8.504922102105979e-204,2.4565377778604015e-190,-2.8409285477640133e-183
base-broad,4.55,0.0,6.177102905885355e-203,6.177102905885345e-203,1.8209021083729515e-189,-1.906042220907456e-182
base-broad,4.575,0.0,4.40825365793641e-202,4.408253657936403e-202,1.3341294203728182e-188,-1.2645922315024054e-181
base-broad,4.6000000000000005,0.0,3.089844836999954e-201,3.0898448369999487e-201,9.662980307556747e-188,-8.297849214577858e-181
base-broad,4.625,0.0,2.1259572849204985e-200,2.1259572849204947e-200,6.91956315710664e-187,-5.385524563352215e-180
base-broad,4.65,0.0,1.4348253240648915e-199,1.4348253240648887e-199,4.89950866295897e-186,-3.457701596518803e-179
base-broad,4.675,0.0,9.489448191249976e-199,9.489448191249958e-199,3.430706998772188e-185,-2.196305835917494e-178
base-broad,4.7,0.0,6.141885347179125e-198,6.141885347179113e-198,2.3758670092074373e-184,-1.3803585732811716e-177
base-broad,4.7250000000000005,0.0,3.883193760043807e-197,3.8831937600437994e-197,1.627486419076159e-183,-8.584836614961616e-177
base-broad,4.75,0.0,2.3921761512492995e-196,2.392176151249295e-196,1.1028537539605816e-182,-5.2839613468832814e-176
base-broad,4.775,0.0,1.4305687894302682e-195,1.4305687894302651e-195,7.393865937040672e-182,-3.218995997419803e-175
base-broad,4.8,0.0,8.258685913979775e-195,8.258685913979758e-195,4.904845620296793e-181,-1.9411515864602966e-174
base-broad,4.825,0.0,4.5615285506294586e-194,4.561528550629449e-194,3.2197750402240514e-180,-1.1588333111947348e-173
base-broad,4.8500000000000005,0.0,2.3730752933309694e-193,2.3730752933309646e-193,2.0917881556545417e-179,-6.849337982275111e-173
base-broad,4.875,0.0,1.1271749293849513e-192,1.127174929384949e-192,1.3450756506879074e-178,-4.008531064182813e-172
base-broad,4.9,0.0,4.52410560262821e-192,4.5241056026282025e-192,8.561635349747206e-178,-2.3231283154699064e-171
base-broad,4.925,0.0,1.1165535238055846e-191,1.1165535238055843e-191,5.394997280560591e-177,-1.3333803124940224e-170
base-broad,4.95,0.0,-4.206581151256418e-191,-4.206581151256389e-191,3.365836668967117e-176,-7.579991931393724e-170
base-broad,4.9750000000000005,7.642297475895802e-18,-9.686600662894094e-190,-9.686600662894054e-190,2.0792385223085082e-175,-4.268326741044144e-169
base-broad,5.0,7.600572085895054e-18,-1.0354121910766499e-188,-1.0354121910766461e-188,1.2719398678130398e-174,-2.38100612418589e-168
base-broad,5.025,0.0,-8.997793330557179e-188,-8.997793330557147e-188,7.705853300467154e-174,-1.3158804685098428e-167
base-broad,5.05,0.0,-7.050198600039517e-187,-7.050198600039493e-187,4.623885449712705e-173,-7.205497741311095e-167
base-broad,5.075,0.0,-5.175434025436261e-186,-5.175434025436243e-186,2.7483070396262543e-172,-3.9096791390407486e-166
base-broad,5.1000000000000005,0.0,-3.625693468662719e-185,-3.625693468662706e-185,1.6182081332569725e-171,-2.102254232844753e-165
base-broad,5.125,0.0,-2.44914993302161e-184,-2.449149933021601e-184,9.439586438726957e-171,-1.120297046984049e-164
base-broad,5.15,0.0,-1.6053651495850916e-183,-1.6053651495850858e-183,5.4558065200718125e-170,-5.917268689628469e-164
