waveform,time,a,a_dot
carrier,10.725,-6.423459387596208e-06,-3.4896463632976353e-06
carrier,10.75,-6.508664640146361e-06,-3.313773148046059e-06
carrier,10.775,-6.589303803389922e-06,-3.1548525117298835e-06
carrier,10.8,-6.667705898819719e-06,-3.147072791184039e-06
carrier,10.825000000000001,-6.747976614060032e-06,-3.2929331396031657e-06
carrier,10.85,-6.8326543628580275e-06,-3.4749902568509196e-06
carrier,10.875,-6.92094751638761e-06,-3.5669732569759974e-06
carrier,10.9,-7.009974019669991e-06,-3.540258804378108e-06
carrier,10.925,-7.0977083154260834e-06,-3.4835757308270784e-06
carrier,10.950000000000001,-7.18480280092441e-06,-3.5016510475582123e-06
carrier,10.975,-7.273568335478612e-06,-3.6089754748380725e-06
carrier,11.0,-7.365282120979793e-06,-3.7203336441356903e-06
carrier,11.025,-7.4589338926518405e-06,-3.757496017576165e-06
carrier,11.05,-7.5526896709820014e-06,-3.741020353159818e-06
carrier,11.075000000000001,-7.646260442022001e-06,-3.755856572496018e-06
carrier,11.1,-7.741082116795495e-06,-3.838507286058045e-06
carrier,11.125,-7.838258268618533e-06,-3.930012088939675e-06
carrier,11.15,-7.937105712289866e-06,-3.967417353286215e-06
carrier,11.175,-8.036330848960045e-06,-3.971339632042671e-06
carrier,11.200000000000001,-8.136001181494967e-06,-4.011839634126349e-06
carrier,11.225,-8.23731219652754e-06,-4.09630733092053e-06
carrier,11.25,-8.340662467704738e-06,-4.1637231649962245e-06
carrier,11.275,-8.445104428663402e-06,-4.1870402042659485e-06
carrier,11.3,-8.550058222931084e-06,-4.215285781133626e-06
carrier,11.325000000000001,-8.65625600867042e-06,-4.286382725347557e-06
carrier,11.35,-8.764400128799635e-06,-4.360509508810408e-06
carrier,11.375,-8.873951495820691e-06,-4.397854366153866e-06
carrier,11.4,-8.984233733016478e-06,-4.428848073604132e-06
carrier,11.425,-9.095716318868803e-06,-4.495202395289048e-06
carrier,11.450000000000001,-9.209055960443711e-06,-4.568672067493936e-06
carrier,11.475,-9.323864937068698e-06,-4.610928672386943e-06
carrier,11.5,-9.439568216802256e-06,-4.649278456015158e-06
carrier,11.525,-9.55660170827357e-06,-4.717682381225109e-06
carrier,11.55,-9.675470363692865e-06,-4.787958295017855e-06
carrier,11.575000000000001,-9.795742584940704e-06,-4.830592486908715e-06
carrier,11.6,-9.917053122302096e-06,-4.878691272521068e-06
carrier,11.625,-1.003990541095533e-05,-4.951831696397739e-06
carrier,11.65,-1.0164557925697692e-05,-5.015588791827921e-06
carrier,11.675,-1.029050182389093e-05,-5.0596534132762584e-06
carrier,11.700000000000001,-1.0417692324458447e-05,-5.12012267593812e-06
carrier,11.725,-1.0546641690797007e-05,-5.194940650185429e-06
carrier,11.75,-1.0677253519990059e-05,-5.250147923857367e-06
carrier,11.775,-1.0809118997547274e-05,-5.3018796515399394e-06
carrier,11.8,-1.0942538585217274e-05,-5.374341132791781e-06
carrier,11.825000000000001,-1.1077798144723958e-05,-5.442692940554345e-06
carrier,11.85,-1.1214517895329897e-05,-5.494696364096912e-06
carrier,11.875,-1.135266670875467e-05,-5.56089016435138e-06
carrier,11.9,-1.1492648597322713e-05,-5.636288709396206e-06
carrier,11.925,-1.163431776724144e-05,-5.6946479387143695e-06
carrier,11.950000000000001,-1.1777415832759578e-05,-5.756501449025704e-06
carrier,11.975,-1.1922283227781201e-05,-5.833481033747093e-06
carrier,12.0,-1.206898813508039e-05,-5.899663636098716e-06
carrier,12.025,-1.221720987584489e-05,-5.960130995239474e-06
carrier,12.05,-1.2367150605834658e-05,-6.036907864791506e-06
carrier,12.075000000000001,-1.2519008995077134e-05,-6.108992168314984e-06
carrier,12.1,-1.267250248657018e-05,-6.171028012472679e-06
carrier,12.125,-1.28276972898075e-05,-6.2472270540448624e-06
carrier,12.15,-1.2984859978733983e-05,-6.323368978102736e-06
carrier,12.175,-1.3143760739099025e-05,-6.3884861507845734e-06
carrier,12.200000000000001,-1.3304385955193481e-05,-6.464383739082742e-06
carrier,12.225,-1.3467014271372881e-05,-6.5438393170371036e-06
carrier,12.25,-1.3631464726867832e-05,-6.611762102551473e-06
carrier,12.275,-1.3797689197618294e-05,-6.688736482196797e-06
carrier,12.3,-1.3965947961405233e-05,-6.770491493907075e-06
carrier,12.325000000000001,-1.4136101920092893e-05,-6.841060550963377e-06
carrier,12.35,-1.430808562265812e-05,-6.920167360237901e-06
carrier,12.375,-1.4482147278622794e-05,-7.0033766945077565e-06
carrier,12.4,-1.4658159056229279e-05,-7.07683190060245e-06
carrier,12.425,-1.4836065460430443e-05,-7.1582253037938566e-06
carrier,12.450000000000001,-1.5016101715566301e-05,-7.242976975248894e-06
carrier,12.475,-1.5198127313891035e-05,-7.318910025511638e-06
carrier,12.5,-1.53821264672475e-05,-7.403121265239209e-06
carrier,12.525,-1.556830249880277e-05,-7.4892234420602074e-06
carrier,12.55,-1.575650602866625e-05,-7.567376439613232e-06
carrier,12.575000000000001,-1.5946766758347705e-05,-7.6551153713155e-06
carrier,12.6,-1.6139248232303184e-05,-7.741694448749927e-06
carrier,12.625,-1.6333796103627547e-05,-7.822850843631167e-06
carrier,12.65,-1.6530488405325395e-05,-7.913799198429561e-06
carrier,12.675,-1.6729441201170825e-05,-8.000566017580052e-06
carrier,12.700000000000001,-1.6930499407152292e-05,-8.085536297732267e-06
carrier,12.725,-1.7133798830207908e-05,-8.178845882693477e-06
carrier,12.75,-1.7339381371962867e-05,-8.266191616700033e-06
carrier,12.775,-1.7547124331889673e-05,-8.35526170953746e-06
carrier,12.8,-1.7757202818073943e-05,-8.45029941756687e-06
carrier,12.825000000000001,-1.7969570619546897e-05,-8.538570359980303e-06
carrier,12.85,-1.818418230397363e-05,-8.63214006249583e-06
carrier,12.875,-1.840119971308458e-05,-8.727878256204098e-06
carrier,12.9,-1.8620516445712843e-05,-8.817997258980946e-06
carrier,12.925,-1.8842179832570317e-05,-8.916045107946596e-06
carrier,12.950000000000001,-1.9066288017870953e-05,-9.011248321216195e-06
carrier,12.975,-1.9292727219956797e-05,-9.10516150480569e-06
