grid,r,phi,Z,mode
base,13.3,0.05939050257002627,1.000705446359104,0.006278394801832819
base,13.4,0.056453255625436925,1.0006373940141422,0.006058665066979572
base,13.5,0.05366243554018979,1.000575931397621,0.00584690327609896
base,13.600000000000001,0.05101081124687378,1.0005204205728129,0.00564281096286144
base,13.700000000000001,0.04849148484538452,1.000470284820502,0.0054461008640671075
base,13.8,0.046097880635128576,1.00042500291981,0.005256496553476461
base,13.9,0.043823733752879776,1.0003841039280086,0.005073732077363014
base,14.0,0.04166307857788366,1.0003471624233173,0.004897551593621151
base,14.100000000000001,0.03961023703774176,1.0003137941756373,0.00472770901593107
base,14.200000000000001,0.03765980692456454,1.000283652211519,0.004563967664196999
base,14.3,0.03580665031035674,1.0002564232412896,0.004406099922229394
base,14.4,0.0340458821331368,1.0002318244180446,0.004253886903431812
base,14.5,0.032372859010489,1.0002096004001026,0.0041071181250737845
base,14.600000000000001,0.030783168324742954,1.0001895206904219,0.003965591191578651
base,14.700000000000001,0.029272617613453684,1.0001713772283887,0.0038291114871263003
base,14.8,0.02783722429003876,1.0001549822112348,0.0036974918777619385
base,14.9,0.026473205712073847,1.0001401661241347,0.0035705524231108106
base,15.0,0.02517696960864269,1.000126775959735,0.003448120097722656
base,15.100000000000001,0.023945104873098495,1.0001146736094768,0.0033300285220066524
base,15.200000000000001,0.02277437272346214,1.0001037344105894,0.003216117702665681
base,15.3,0.02166169822932071,1.0000938458340356,0.003106233782496554
base,15.4,0.02060416220138015,1.0000849063000041,0.0030002287993887654
base,15.5,0.019598993437666076,1.0000768241087539,0.002897960454327313
base,15.600000000000001,0.018643561318670322,1.0000695164757285,0.002799291888184103
base,15.700000000000001,0.017735368742433,1.000062908660886,0.0027040914670664307
base,15.8,0.016872045389567,1.0000569331831255,0.002612232575979325
base,15.9,0.01605134130751961,1.0000515291115541,0.002523593420550448
base,16.0,0.015271120802878442,1.0000466414261153,0.0024380568365611494
base,16.1,0.014529356630226418,1.0000422204408177,0.0023555101070247145
base,16.2,0.013824124465900364,1.0000382212834498,0.00227584478655241
base,16.3,0.013153597654981319,1.0000346034262537,0.0021989565327491635
base,16.400000000000002,0.012516042219918531,1.00003133026257,0.002124744944383456
base,16.5,0.011909812119342991,1.0000283687249436,0.0020531134060797667
base,16.6,0.011333344745843653,1.0000256889406256,0.00198396893928674
base,16.7,0.010785156651746066,1.0000232639208004,0.0019172220592796746
base,16.8,0.010263839492237038,1.0000210692802245,0.0018527866379619722
base,16.900000000000002,0.00976805617551082,1.0000190829842897,0.0017905797722366768
base,17.0,0.009296537209963306,1.0000172851208193,0.0017305216577259567
base,17.1,0.00884807723882505,1.0000156576941648,0.001672535467623374
base,17.2,0.008421531752995167,1.0000141844394133,0.0016165472364708725
base,17.3,0.008015813973212434,1.0000128506547306,0.0015624857486595477
base,17.400000000000002,0.0076298918930733485,1.00001164305006,0.0015102824314604255
base,17.5,0.007262785474776523,1.0000105496105705,0.0014598712523985421
base,17.6,0.00691356398983637,1.0000095594734084,0.0014111886207906499
base,17.7,0.006581343497364747,1.000008662816446,0.0013641732932737536
base,17.8,0.006265284452865541,1.0000078507578551,0.00131876628315842
base,17.900000000000002,0.005964589440823292,1.0000071152654395,0.0012749107734474152
base,18.0,0.005678501024691841,1.0000064490747775,0.001232552033366615
base,18.1,0.005406299708202332,1.000005845615307,0.0011916373382613703
base,18.2,0.005147302002211304,1.0000052989435804,0.0011521158927175587
base,18.3,0.004900858591598912,1.000004803682987,0.0011139387567723632
base,18.400000000000002,0.004666352597004537,1.0000043549693118,0.0010770587750854816
base,18.5,0.004443197926452233,1.0000039484015628,0.001041430508946896
base,18.6,0.004230837712171787,1.0000035799975493,0.0010070101710025641
base,18.7,0.00402874282816288,1.0000032461537551,0.0009737555625844398
base,18.8,0.0038364104842802454,1.0000029436090807,0.0009416260135360645
base,18.900000000000002,0.003653362892837048,1.0000026694120854,0.0009105823244296281
base,19.0,0.003479146003932469,1.0000024208913834,0.0008805867110748459
base,19.1,0.0033133283059078767,1.0000021956288925,0.0008516027512242989
base,19.200000000000003,0.0031554996875245303,1.0000019914356555,0.000823595333383962
base,19.3,0.003005270358634789,1.0000018063299856,0.000796530607641592
base,19.400000000000002,0.0028622698262886965,1.0000016385177117,0.0007703759384293998
base,19.5,0.002726145923379076,1.0000014863743192,0.0007450998591410398
base,19.6,0.0025965638870811027,1.000001348428804,0.0007206720285263843
base,19.700000000000003,0.0024732054844872962,1.0000012233490736,0.0006970631887908651
base,19.8,0.0023557681829762343,1.0000011099287465,0.0006742451253293014
base,19.900000000000002,0.00224396436298346,1.0000010070752126,0.0006521906280271587
base,20.0,0.0021375205709663636,1.0000009137988382,0.0006308734540650628
fine,0.05,0.7426154720625691,1.1102955478693424,0.112392212679476
fine,0.1,0.7426149407326085,1.110295390039859,0.11238095558801822
fine,0.15000000000000002,0.7426140539047861,1.11029512661138,0.11236219529877213
fine,0.2,0.7426128096588303,1.1102947570138764,0.1123359341063418
fine,0.25,0.7426112052994727,1.110294280447267,0.1123021752228302
fine,0.30000000000000004,0.7426092373495382,1.1102936958793725,0.11226092277749752
fine,0.35000000000000003,0.7426069015410266,1.1102930020432729,0.11221218181632164
fine,0.4,0.7426041928041646,1.110292197434065,0.11215595830146197
fine,0.45,0.7426011052543939,1.1102912803050096,0.11209225911062695
fine,0.5,0.7425976321772662,1.1102902486630564,0.11202109203634608
fine,0.55,0.7425937660111948,1.1102891002637378,0.11194246578514627
fine,0.6000000000000001,0.7425894983280252,1.1102878326054135,0.11185638997663438
fine,0.65,0.7425848198113629,1.110286442922855,0.11176287514248619
