time,radius,case,a,chi
24.0,13.700000000000001,2,7.171391305277118e-05,-4.2955118499578e-05
24.0,14.100000000000001,2,6.868089782860961e-05,-3.728893907196118e-05
24.0,14.5,2,6.565718848149776e-05,-3.239414590774343e-05
24.0,14.9,2,6.261059580309959e-05,-2.816208524150937e-05
24.0,15.3,2,5.950974015161963e-05,-2.4499859317937446e-05
24.0,15.700000000000001,2,5.631554818848155e-05,-2.1328037110272988e-05
24.0,16.1,2,5.2989542387535e-05,-1.8578666527716867e-05
24.0,16.5,2,4.949342097194304e-05,-1.619356845107149e-05
24.0,16.900000000000002,2,4.578587045131019e-05,-1.4122882555429076e-05
24.0,17.3,2,4.182591504484928e-05,-1.2323832395964641e-05
24.0,17.7,2,3.757719425897462e-05,-1.07596785942326e-05
24.0,18.1,2,3.301095830214917e-05,-9.398831979942532e-06
24.0,18.5,2,2.8110217875604938e-05,-8.214102077855918e-06
24.0,18.900000000000002,2,2.2875723474129655e-05,-7.182059819722526e-06
24.0,19.3,2,1.733248360311532e-05,-6.282496556282072e-06
24.0,19.700000000000003,2,1.1535745021862659e-05,-5.497964254596314e-06
24.0,20.1,2,5.5760454814287086e-06,-4.813384181308421e-06
24.0,20.5,2,-4.1829285617500114e-07,-4.215713419188633e-06
24.0,20.900000000000002,2,-6.28480621864259e-06,-3.6936602838303937e-06
24.0,21.3,2,-1.1836924311312802e-05,-3.2374411450418042e-06
24.0,21.700000000000003,2,-1.687695897172564e-05,-2.838572357280366e-06
24.0,22.1,2,-2.121530033886473e-05,-2.4896920046763345e-06
24.0,22.5,2,-2.4694287919616708e-05,-2.1844070021071564e-06
24.0,22.900000000000002,2,-2.7204563029371676e-05,-1.9171617919943583e-06
24.0,23.3,2,-2.8700585976547036e-05,-1.6831254600105132e-06
24.0,23.700000000000003,2,-2.9206178350803443e-05,-1.4780945812052672e-06
24.0,24.1,2,-2.8807794326701095e-05,-1.298409517811947e-06
24.0,24.5,2,-2.7644958925583065e-05,-1.1408822348355358e-06
24.0,24.900000000000002,2,-2.5887571374344896e-05,-1.0027339902438987e-06
24.0,25.3,2,-2.371910931298833e-05,-8.815415016252767e-07
24.0,25.700000000000003,2,-2.131387573549495e-05,-7.751903974688652e-07
24.0,26.1,2,-1.882565067253412e-05,-6.818349350196494e-07
24.0,26.5,2,-1.637868651847073e-05,-5.998631136241254e-07
