grid,case,pattern,amplitude,time,local_chi,upstream_a,delta_chi,predicted_delta_chi,total_energy,charge
fine,3,single,0.008,28.8,0.0007779946496244717,0.00015201883170574848,-1.5790428224953662e-09,-1.554823617336985e-09,2616.603902997846,2845.6303907176925
fine,4,single,-0.004,28.8,0.0007779958384482388,-7.60263785105112e-05,-3.9021905541905544e-10,-3.8870590433424627e-10,2616.403016637289,2845.630390717691
fine,5,counter,0.004,28.8,0.0007779958454193415,6.88290055567044e-05,-3.832479526875293e-10,-3.817384696775001e-10,2616.408515530829,2845.6303907176903
fine,6,counter,-0.004,28.8,0.0007779958454193415,-6.88290055567044e-05,-3.832479526875293e-10,-3.817384696775001e-10,2616.408515530829,2845.6303907176903
fine,0,single,0,28.900000000000002,0.0008032513977573404,0.0,0.0,-0.0,2616.336054516913,2845.6303907174793
fine,1,single,0.002,28.900000000000002,0.0008032512758172753,3.7946420323905834e-05,-1.219400650332575e-10,-1.2183571420639041e-10,2616.3527950469597,2845.6303907174793
fine,2,single,0.004,28.900000000000002,0.000803250908745564,7.588813870921291e-05,-4.890117763847734e-10,-4.873428568255617e-10,2616.4030166371003,2845.630390717482
fine,3,single,0.008,28.900000000000002,0.0008032494216743917,0.00015173866005589466,-1.976082948640899e-09,-1.9493714273022466e-09,2616.6039029976573,2845.630390717483
fine,4,single,-0.004,28.900000000000002,0.000803250908745564,-7.588813870921291e-05,-4.890117763847734e-10,-4.873428568255617e-10,2616.4030166371003,2845.630390717482
fine,5,counter,0.004,28.900000000000002,0.0008032509179047207,6.87918279658281e-05,-4.798526196617831e-10,-4.781882136267654e-10,2616.4085155306398,2845.6303907174797
fine,6,counter,-0.004,28.900000000000002,0.0008032509179047207,-6.87918279658281e-05,-4.798526196617831e-10,-4.781882136267654e-10,2616.4085155306398,2845.6303907174797
fine,0,single,0,29.0,0.0008271383287567125,0.0,0.0,-0.0,2616.3360545167243,2845.6303907172683
fine,1,single,0.002,29.0,0.0008271381873581687,3.771585116429029e-05,-1.4139854380684075e-10,-1.412850513598102e-10,2616.3527950467706,2845.6303907172696
fine,2,single,0.004,29.0,0.000827137761799187,7.54264728476074e-05,-5.669575255237355e-10,-5.651402054392408e-10,2616.403016636911,2845.630390717272
fine,3,single,0.008,29.0,0.0008271360391088632,0.00015081110759622885,-2.289647849356563e-09,-2.2605608217569633e-09,2616.6039029974677,2845.630390717273
fine,4,single,-0.004,29.0,0.000827137761799187,-7.54264728476074e-05,-5.669575255237355e-10,-5.651402054392408e-10,2616.403016636911,2845.630390717272
fine,5,counter,0.004,29.0,0.0008271377727293581,6.843976201287191e-05,-5.5602735447597e-10,-5.542154561637774e-10,2616.40851553045,2845.63039071727
fine,6,counter,-0.004,29.0,0.0008271377727293581,-6.843976201287191e-05,-5.5602735447597e-10,-5.542154561637774e-10,2616.40851553045,2845.63039071727
fine,0,single,0,29.1,0.0008496163332349008,0.0,0.0,-0.0,2616.3360545165347,2845.6303907170586
fine,1,single,0.002,29.1,0.0008496161785762575,3.714945957310385e-05,-1.546586433139735e-10,-1.5453614028892164e-10,2616.3527950465814,2845.63039071706
fine,2,single,0.004,29.1,0.0008496157131309345,7.429308672701198e-05,-6.201039663309912e-10,-6.181445611556865e-10,2616.403016636722,2845.6303907170613
fine,3,single,0.008,29.1,0.0008496138292962694,0.00014853951134924075,-2.5039386314157017e-09,-2.472578244622746e-09,2616.603902997279,2845.630390717063
fine,4,single,-0.004,29.1,0.0008496157131309345,-7.429308672701198e-05,-6.201039663309912e-10,-6.181445611556865e-10,2616.403016636722,2845.6303907170613
fine,5,counter,0.004,29.1,0.0008496157252941249,6.74236686903793e-05,-6.079407759542257e-10,-6.059875930949981e-10,2616.4085155302614,2845.63039071706
fine,6,counter,-0.004,29.1,0.0008496157252941249,-6.74236686903793e-05,-6.079407759542257e-10,-6.059875930949981e-10,2616.4085155302614,2845.63039071706
fine,0,single,0,29.2,0.000870647122689848,0.0,0.0,-0.0,2616.336054516347,2845.630390716849
fine,1,single,0.002,29.2,0.0008706469616840726,3.593119540446783e-05,-1.6100577533532945e-10,-1.6087478727446935e-10,2616.352795046392,2845.6303907168494
fine,2,single,0.004,29.2,0.0008706464770946545,7.185587194789431e-05,-6.455951935156398e-10,-6.434991490978774e-10,2616.403016636533,2845.630390716851
fine,3,single,0.008,29.2,0.0008706445151442403,0.00014365958962496338,-2.607545607712612e-09,-2.5739965963915095e-09,2616.60390299709,2845.630390716853
fine,4,single,-0.004,29.2,0.0008706464770946545,-7.185587194789431e-05,-6.455951935156398e-10,-6.434991490978774e-10,2616.403016636533,2845.630390716851
fine,5,counter,0.004,29.2,0.0008706464898482112,6.5110683903749e-05,-6.328416367329393e-10,-6.307525546281442e-10,2616.4085155300722,2845.63039071685
fine,6,counter,-0.004,29.2,0.0008706464898482112,-6.5110683903749e-05,-6.328416367329393e-10,-6.307525546281442e-10,2616.4085155300722,2845.63039071685
fine,0,single,0,29.3,0.0008901948737688163,0.0,0.0,-0.0,2616.3360545161568,2845.630390716639
fine,1,single,0.002,29.3,0.0008901947137232592,3.352874077696662e-05,-1.6004555710227852e-10,-1.599062753280125e-10,2616.352795046203,2845.63039071664
fine,2,single,0.004,29.3,0.0008901942319149647,6.705018846196231e-05,-6.418538515354927e-10,-6.3962510131205e-10,2616.4030166363436,2845.6303907166416
fine,3,single,0.008,29.3,0.000890192279596135,0.00013404202800873052,-2.594172681248501e-09,-2.5585004052482e-09,2616.603902996901,2845.6303907166425
fine,4,single,-0.004,29.3,0.0008901942319149647,-6.705018846196231e-05,-6.418538515354927e-10,-6.3962510131205e-10,2616.4030166363436,2845.6303907166416
fine,5,counter,0.004,29.3,0.0008901942445335276,6.0435318215411154e-05,-6.292352886568681e-10,-6.270143446721294e-10,2616.4085155298826,2845.6303907166402
fine,6,counter,-0.004,29.3,0.0008901942445335276,-6.0435318215411154e-05,-6.292352886568681e-10,-6.270143446721294e-10,2616.4085155298826,2845.6303907166402
fine,0,single,0,29.400000000000002,0.0009082262892888571,0.0,0.0,-0.0,2616.3360545159685,2845.6303907164283
fine,1,single,0.002,29.400000000000002,0.0009082261375575116,2.911299534460548e-05,-1.5173134547841888e-10,-1.515839182029051e-10,2616.3527950460148,2845.6303907164297
fine,2,single,0.004,29.400000000000002,0.000908225680594633,5.821783911516927e-05,-6.086942241478183e-10,-6.063356728116204e-10,2616.4030166361554,2845.630390716431
fine,3,single,0.008,29.400000000000002,0.000908223826196081,0.0001163704604567128,-2.463092776071839e-09,-2.4253426912464818e-09,2616.603902996712,2845.6303907164324
fine,4,single,-0.004,29.400000000000002,0.000908225680594633,-5.821783911516927e-05,-6.086942241478183e-10,-6.063356728116204e-10,2616.4030166361554,2845.630390716431
fine,5,counter,0.004,29.400000000000002,0.000908225692298067,5.173871032463184e-05,-5.969907901359761e-10,-5.946408041927778e-10,2616.4085155296943,2845.6303907164297
fine,6,counter,-0.004,29.400000000000002,0.000908225692298067,-5.173871032463184e-05,-5.969907901359761e-10,-5.946408041927778e-10,2616.4085155296943,2845.6303907164297
fine,0,single,0,29.5,0.0009247106549550464,0.0,0.0,-0.0,2616.3360545157793,2845.6303907162187
fine,1,single,0.002,29.5,0.000924710518581954,2.1495777660578382e-05,-1.363730923976611e-10,-1.3621769570785706e-10,2616.3527950458256,2845.6303907162196
fine,2,single,0.004,29.5,0.0009247101075974516,4.29824776593139e-05,-5.473575947958359e-10,-5.448707828314282e-10,2616.403016635966,2845.630390716221
fine,3,single,0.008,29.5,0.0009247084356702314,8.589232759547646e-05,-2.2192848149471534e-09,-2.179483131325713e-09,2616.603902996523,2845.630390716221
fine,4,single,-0.004,29.5,0.0009247101075974516,-4.29824776593139e-05,-5.473575947958359e-10,-5.448707828314282e-10,2616.403016635966,2845.630390716221
fine,5,counter,0.004,29.5,0.0009247101175818915,3.664361571912855e-05,-5.373731548716926e-10,-5.348957295617568e-10,2616.4085155295043,2845.630390716219
fine,6,counter,-0.004,29.5,0.0009247101175818915,-3.664361571912855e-05,-5.373731548716926e-10,-5.348957295617568e-10,2616.4085155295043,2845.630390716219
fine,0,single,0,29.6,0.0009396198916787128,0.0,0.0,-0.0,2616.33605451559,2845.630390716009
fine,1,single,0.002,29.6,0.000939619777052329,9.11690601969311e-06,-1.1462638379710482e-10,-1.144629916034371e-10,2616.3527950456364,2845.6303907160095
fine,2,single,0.004,29.6,0.0009396194312122732,1.822377632977064e-05,-4.604664396090294e-10,-4.578519664137484e-10,2616.403016635777,2845.6303907160104
fine,3,single,0.008,29.6,0.000939618018426088,3.6367259027426176e-05,-1.8732526247408968e-09,-1.8314078656549935e-09,2616.603902996333,2845.6303907160104
