sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
1,0.1,fine,4,7.400069768802999e-13,5.382361223382759e-13,6.67405602901486e-13,1.4016565685892601e-12,0.5304838399288654
1,0.1,fine,5,1.544464556246794e-11,8.30002733209763e-12,1.3419942122881735e-11,2.1019241902564545e-11,0.9393928392383956
1,0.1,fine,6,1.567634910770721e-13,3.574918139293001e-14,1.6182087717819164e-13,3.570893580828738e-13,0.18634122003281336
1,0.1,fine,7,2.4646951146678475e-13,9.992007221626409e-14,2.662489268536604e-13,6.448730438535222e-13,0.2716100245941587
1,0.1,fine,8,3.394506897791416e-13,7.16093850883226e-14,3.1198502205473283e-13,1.0376699499659026e-12,0.15065630751967446
1,0.1,fine,9,6.941114349956479e-13,3.9124259387790516e-13,7.672605745293682e-13,1.8088863740217676e-12,0.3713692425883925
1,0.1,fine,10,4.094156559754612e-12,2.922329045418335e-12,3.515021689678403e-12,5.22309973050028e-12,0.7241191945418202
1,0.1,fine,11,5.788702850395566e-13,1.7252865802674933e-13,5.789474032783792e-13,1.5163426070330388e-12,0.2716100245941519
2,0,base,0,1.2072565169773952e-12,4.569677969357143e-13,9.463103491138034e-13,2.4631408024333723e-12,0.33652957630368024
2,0,base,1,6.104561300901423e-13,1.3200551762793111e-13,6.184714409066647e-13,1.819017159121472e-12,0.1252250313460814
2,0,base,2,5.397904345727511e-13,1.8474111129762605e-13,5.184483637797783e-13,1.5789591856218976e-12,0.16378321836723758
2,0,base,3,1.4375500789753914e-11,6.165734589558267e-12,1.1225340949294864e-11,2.5211166887210493e-11,0.1845178773320209
2,0,base,4,1.0347278589506459e-13,9.880984919163893e-15,9.054637948075279e-14,2.7258230395066363e-13,0.051707938860618106
2,0,base,5,3.301026119117978e-12,1.8978152382942426e-12,3.891306568599639e-12,1.1708412017696901e-11,0.045989858867930215
2,0,base,6,1.9309718736027724e-11,1.104238922522427e-11,1.4761278088825566e-11,2.6673163677770617e-11,0.9001781974605595
2,0,base,7,1.1545653322286853e-11,6.091349646908384e-12,9.943310941432944e-12,2.2075864641497697e-11,0.18451787733221756
2,0,base,8,8.285394592633111e-11,3.117783808903596e-11,6.504567894524268e-11,1.907762836594884e-10,0.6518281026811599
2,0,base,9,3.982247864797728e-11,1.2641887536801707e-11,2.896903227853353e-11,1.1079440961133206e-10,0.23907844450205148
2,0,base,10,3.2324698473473745e-12,1.3776757512573568e-12,3.4134925890313336e-12,9.687362023669266e-12,0.3069923674021302
2,0,base,11,1.2107426172747182e-11,5.4072302191343624e-12,9.532881449458687e-12,2.134039972864723e-11,0.18451787733240432
2,0,fine,0,8.356648706353553e-13,3.194111641846575e-13,6.568385739646299e-13,1.7041090760727684e-12,0.3365295763037134
2,0,fine,1,2.358668815816145e-13,4.318767565791859e-14,2.3272592510373663e-13,7.021605519241803e-13,0.1252250313460814
2,0,fine,2,3.576028362317629e-13,1.2079226507921703e-13,3.4683465592147117e-13,1.0467182676165976e-12,0.16378321836723655
2,0,fine,3,7.81985587394729e-12,6.623590564913681e-13,4.652745151383049e-12,1.1306070570222751e-11,0.18451787733210454
2,0,fine,4,2.631228568361621e-14,2.4424906541753444e-15,2.321310711338394e-14,6.940108210340412e-14,0.05170793886073421
2,0,fine,5,1.5971668432257502e-12,9.211520435314924e-13,1.8377912082370927e-12,5.62117019597963e-12,0.045989858867899275
2,0,fine,6,1.821035540028914e-11,1.0470180278332459e-11,1.3947635351571008e-11,2.5164925698817342e-11,0.900178197460634
2,0,fine,7,6.114886375030437e-12,6.982192601867609e-13,3.8407572556945956e-12,9.202036544330049e-12,0.1845178773321916
2,0,fine,8,2.780176089345332e-11,1.5948797837950224e-11,2.5321786302722646e-11,6.802769458857938e-11,0.6518281026794667
2,0,fine,9,1.032174345994008e-11,6.9675376579425574e-12,9.54649623051172e-12,3.2215472961252557e-11,0.23907844450124557
2,0,fine,10,1.754929535024985e-12,1.0581535647702367e-12,2.0830835396971945e-12,5.4328763710032035e-12,0.3069923674021842
2,0,fine,11,6.728617663043224e-12,7.087663789206999e-13,4.1927698465589335e-12,1.0067740035518486e-11,0.18451787733228017
2,0.1,base,0,5.03375119365046e-13,2.5046631435543527e-13,4.3500521869158693e-13,1.089545120791513e-12,0.33652957630367814
2,0.1,base,1,3.5466074521650626e-13,9.114931032172535e-14,3.720545361084725e-13,1.0762224444960111e-12,0.1252250313460817
