triad,order,radius,direction,group_x,group_y,group_z,cone_x,cone_y,cone_z
orthogonal,reverse,0.039999999999999994,3,-0.7069653240668327,0.020001332890623447,-0.7069653240640571,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,reverse,0.04,4,-0.9999999999919794,-2.0816681711721685e-12,6.938893903907227e-13,-1.0,0.0,0.0
orthogonal,reverse,0.039999999999999994,5,-0.7069653240675265,-0.020001332892705115,0.7069653240640571,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.04000000000000001,6,-0.5860359773804391,0.5860359773839086,-0.5860359773818269,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.039999999999999994,7,-0.7069653240654449,0.7069653240626693,-0.020001332882990663,-0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.04000000000000001,8,-0.5682539867213343,0.5682539867213343,0.5682539867199465,-0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.039999999999999994,9,0.020001332884378442,-0.7069653240661388,-0.7069653240668327,0.0,-0.7071067811865476,-0.7071067811865476
orthogonal,reverse,0.04,10,-1.3877787807814455e-12,-0.9999999999919794,-2.0816681711721685e-12,0.0,-1.0,0.0
orthogonal,reverse,0.039999999999999994,11,-0.020001332884378442,-0.7069653240654449,0.7069653240654449,0.0,-0.7071067811865476,0.7071067811865476
orthogonal,reverse,0.04,12,0.0,0.0,-0.9999999999933672,0.0,0.0,-1.0
orthogonal,reverse,0.04,13,0.0,0.0,0.9999999999898977,0.0,0.0,1.0
orthogonal,reverse,0.039999999999999994,14,-0.020001332884378442,0.7069653240661388,-0.7069653240668327,0.0,0.7071067811865476,-0.7071067811865476
orthogonal,reverse,0.04,15,1.3877787807814455e-12,0.9999999999919794,-2.0816681711721685e-12,0.0,1.0,0.0
orthogonal,reverse,0.039999999999999994,16,0.020001332884378442,0.7069653240654449,0.7069653240654449,0.0,0.7071067811865476,0.7071067811865476
orthogonal,reverse,0.04000000000000001,17,0.5860359773804391,-0.5860359773839086,-0.5860359773818269,0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.039999999999999994,18,0.7069653240654449,-0.7069653240626693,-0.020001332882990663,0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.04000000000000001,19,0.5682539867213343,-0.5682539867213343,0.5682539867199465,0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.039999999999999994,20,0.7069653240668327,-0.020001332890623447,-0.7069653240640571,0.7071067811865476,0.0,-0.7071067811865476
