triad,order,radius,direction,qx,qy,qz,phase,continuum,cone_error
orthogonal,reverse,0.08000000000000002,8,-0.04618802153517007,0.04618802153517007,0.04618802153517007,0.07872980825591994,0.08000000000000002,0.03150270187282562
orthogonal,reverse,0.07999999999999999,9,0.0,-0.056568542494923796,-0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08,10,0.0,-0.08,0.0,0.08000000000000007,0.08,1.7618285302889447e-15
orthogonal,reverse,0.07999999999999999,11,0.0,-0.056568542494923796,0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08,12,0.0,0.0,-0.08,0.08000000000000003,0.08,6.776263578034403e-16
orthogonal,reverse,0.08,13,0.0,0.0,0.08,0.08000000000000004,0.08,1.0842021724855044e-15
orthogonal,reverse,0.07999999999999999,14,0.0,0.056568542494923796,-0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08,15,0.0,0.08,0.0,0.08000000000000002,0.08,4.0657581468206416e-16
orthogonal,reverse,0.07999999999999999,16,0.0,0.056568542494923796,0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08000000000000002,17,0.04618802153517007,-0.04618802153517007,-0.04618802153517007,0.08119433633354425,0.08000000000000002,0.030081289475734654
orthogonal,reverse,0.07999999999999999,18,0.056568542494923796,-0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08000000000000002,19,0.04618802153517007,-0.04618802153517007,0.04618802153517007,0.07872980825591991,0.08000000000000002,0.03150270187282629
orthogonal,reverse,0.07999999999999999,20,0.056568542494923796,0.0,-0.056568542494923796,0.07997865471681649,0.07999999999999999,0.0005335608887882311
orthogonal,reverse,0.08,21,0.08,0.0,0.0,0.08000000000000002,0.08,4.0657581468206416e-16
orthogonal,reverse,0.07999999999999999,22,0.056568542494923796,0.0,0.056568542494923796,0.07997865471681649,0.07999999999999999,0.0005335608887882311
orthogonal,reverse,0.08000000000000002,23,0.04618802153517007,0.04618802153517007,-0.04618802153517007,0.07872980825591988,0.08000000000000002,0.03150270187282697
orthogonal,reverse,0.07999999999999999,24,0.056568542494923796,0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08000000000000002,25,0.04618802153517007,0.04618802153517007,0.04618802153517007,0.08119433633354424,0.08000000000000002,0.030081289475734248
orthogonal,reverse,0.16000000000000003,0,-0.09237604307034014,-0.09237604307034014,-0.09237604307034014,0.1547605010618068,0.16000000000000003,0.06442137933978544
orthogonal,reverse,0.15999999999999998,1,-0.11313708498984759,-0.11313708498984759,0.0,0.15982895063330474,0.15999999999999998,0.002136974197524485
orthogonal,reverse,0.16000000000000003,2,-0.09237604307034014,-0.09237604307034014,0.09237604307034014,0.1646325738199016,0.16000000000000003,0.058745482912708404
orthogonal,reverse,0.15999999999999998,3,-0.11313708498984759,0.0,-0.11313708498984759,0.15982895063330477,0.15999999999999998,0.002136974197524214
orthogonal,reverse,0.16,4,-0.16,0.0,0.0,0.1600000000000001,0.16,1.0842021724855044e-15
orthogonal,reverse,0.15999999999999998,5,-0.11313708498984759,0.0,0.11313708498984759,0.15982895063330477,0.15999999999999998,0.002136974197524214
orthogonal,reverse,0.16000000000000003,6,-0.09237604307034014,0.09237604307034014,-0.09237604307034014,0.1646325738199017,0.16000000000000003,0.058745482912709895
orthogonal,reverse,0.15999999999999998,7,-0.11313708498984759,0.11313708498984759,0.0,0.15982895063330474,0.15999999999999998,0.002136974197524485
orthogonal,reverse,0.16000000000000003,8,-0.09237604307034014,0.09237604307034014,0.09237604307034014,0.1547605010618068,0.16000000000000003,0.06442137933978544
orthogonal,reverse,0.15999999999999998,9,0.0,-0.11313708498984759,-0.11313708498984759,0.15982895063330468,0.15999999999999998,0.0021369741975251623
orthogonal,reverse,0.16,10,0.0,-0.16,0.0,0.16000000000000006,0.16,6.776263578034403e-16
orthogonal,reverse,0.15999999999999998,11,0.0,-0.11313708498984759,0.11313708498984759,0.1598289506333048,0.15999999999999998,0.002136974197523807
orthogonal,reverse,0.16,12,0.0,0.0,-0.16,0.16,0.16,0.0
orthogonal,reverse,0.16,13,0.0,0.0,0.16,0.16000000000000006,0.16,6.776263578034403e-16
orthogonal,reverse,0.15999999999999998,14,0.0,0.11313708498984759,-0.11313708498984759,0.1598289506333046,0.15999999999999998,0.0021369741975262465
orthogonal,reverse,0.16,15,0.0,0.16,0.0,0.16000000000000003,0.16,4.0657581468206416e-16
orthogonal,reverse,0.15999999999999998,16,0.0,0.11313708498984759,0.11313708498984759,0.1598289506333048,0.15999999999999998,0.002136974197523807
orthogonal,reverse,0.16000000000000003,17,0.09237604307034014,-0.09237604307034014,-0.09237604307034014,0.16463257381990154,0.16000000000000003,0.05874548291270773
orthogonal,reverse,0.15999999999999998,18,0.11313708498984759,-0.11313708498984759,0.0,0.1598289506333047,0.15999999999999998,0.0021369741975248912
orthogonal,reverse,0.16000000000000003,19,0.09237604307034014,-0.09237604307034014,0.09237604307034014,0.15476050106180686,0.16000000000000003,0.06442137933978476
