case,time,source_a,inverse_a
finest-broad,14.5,7.266159175353215e-154,2.303509514414254e-122
finest-broad,14.525,1.873477085483937e-152,4.109305815312187e-121
finest-broad,14.55,4.7631829543255236e-151,7.224562514368278e-120
finest-broad,14.575000000000001,1.1941447899956123e-149,1.2517564917183962e-118
finest-broad,14.6,2.9521122088368078e-148,2.1374388903872457e-117
finest-broad,14.625,7.196644213134825e-147,3.5969403810985155e-116
finest-broad,14.65,1.7300294872846154e-145,5.965383156926094e-115
finest-broad,14.675,4.1011733944764426e-144,9.750091302937065e-114
finest-broad,14.700000000000001,9.58735063856372e-143,1.570520774048443e-112
finest-broad,14.725,2.2101894127433005e-141,2.4931163351689155e-111
finest-broad,14.75,5.024642614949334e-140,3.900355665223643e-110
finest-broad,14.775,1.1264966484641234e-138,6.013501102609384e-109
finest-broad,14.8,2.4906216741588173e-137,9.137145847969271e-108
finest-broad,14.825000000000001,5.430535897740473e-136,1.3682073199786254e-106
finest-broad,14.85,1.167719301922032e-134,2.0190608584877266e-105
finest-broad,14.875,2.4762739793601718e-133,2.9363022452232486e-104
finest-broad,14.9,5.178772782200015e-132,4.208268007770736e-103
finest-broad,14.925,1.0681352568664317e-130,5.943667170983255e-102
finest-broad,14.950000000000001,2.1727012684973273e-129,8.272769706648093e-101
finest-broad,14.975,4.358641411953492e-128,1.1347217440686737e-99
finest-broad,15.0,8.623477569565976e-127,1.5337909073892353e-98
finest-broad,15.025,1.6826607511654545e-125,2.0430422441347572e-97
finest-broad,15.05,3.238142903270207e-124,2.681752652956224e-96
finest-broad,15.075000000000001,6.145866182132358e-123,3.4688519203406987e-95
finest-broad,15.1,1.1504294420833412e-121,4.421541031230187e-94
finest-broad,15.125,2.1238735737197006e-120,5.553634549281235e-93
finest-broad,15.15,3.867149275121462e-119,6.873710712828758e-92
finest-broad,15.175,6.94461953652987e-118,8.383198999595107e-91
finest-broad,15.200000000000001,1.229993157822899e-116,1.0074576780823663e-89
finest-broad,15.225,2.1485969034201604e-115,1.1929877043777008e-88
finest-broad,15.25,3.701743532665757e-114,1.391972071798e-87
finest-broad,15.275,6.290103309034022e-113,1.6003073864117668e-86
finest-broad,15.3,1.0541685660657817e-111,1.8127888457787783e-85
finest-broad,15.325000000000001,1.7424637642736512e-110,2.0232716077807965e-84
finest-broad,15.35,2.840659982768598e-109,2.2249291301094864e-83
finest-broad,15.375,4.567481158618919e-108,2.41059752574711e-82
finest-broad,15.4,7.243297289282285e-107,2.5731842432686244e-81
finest-broad,15.425,1.1329160328313567e-105,2.7061100182046526e-80
finest-broad,15.450000000000001,1.7476748713987346e-104,2.8037464982468556e-79
finest-broad,15.475,2.6590378149520584e-103,2.861809390213901e-78
finest-broad,15.5,3.9901441760003696e-102,2.877669082523181e-77
