time,pulse,a,a_t,a_r,incoming,outgoing
13.96,0,-0.012417391147631764,-0.0002347969679989027,0.0011000430203646511,-0.0001519732072556429,-0.0031351843447289945
13.96,1,0.12805183951666937,-0.4813390291912932,-0.49045485540659095,-6.7385312724268545,-0.00021513625125058056
13.98,0,-0.012421644539395016,-0.0001902052420455352,0.0010569387757393416,-0.000143687533840863,-0.0025191858547966304
13.98,1,0.11864176633971964,-0.45971955815375026,-0.46823677319685064,-6.436373436284347,0.0002996221318425363
14.0,0,-0.01242498617126835,-0.0001436537861719849,0.0010141271160881498,-0.00011917977622102026,-0.0018919732301867689
14.0,1,0.1096609204609952,-0.43842048608017103,-0.44636510702338716,-6.138668691494409,0.0007818863720152613
14.02,0,-0.012427379506085096,-9.544092679598647e-05,0.0009714744430496617,-8.145513926682228e-05,-0.001254717835876989
14.02,1,0.1011026472190526,-0.4174662500814677,-0.4248636718114424,-5.845758129640845,0.0012306285002967599
14.040000000000001,0,-0.012428795810195615,-4.60406588880716e-05,0.0009287862490936644,-3.5178773658657396e-05,-0.0006093904507743454
14.040000000000001,1,0.09295981722497951,-0.3968798810798607,-0.40375496608000805,-5.557964021506591,0.0016456863885414563
14.06,0,-0.012429217110034299,3.956282287086255e-06,0.0008858315047400147,1.3905954172556759e-05,4.1481997846650256e-05
14.06,1,0.08522485466182825,-0.3766829915463745,-0.38306015384746345,-5.275589590425952,0.0020277087767079927
14.08,0,-0.012428637799804137,5.3916932379109456e-05,0.0008423713630988812,5.969916844386549e-05,0.000695137884863666
14.08,1,0.077889765517942,-0.3568957938014253,-0.3627990669394264,-4.99891914242699,0.0023780292070365583
14.1,0,-0.01242706468247139,0.00010324655486811804,0.0007981887021222061,9.651445769657402e-05,0.0013489373104570782
14.1,1,0.07094616518593069,-0.33753714417046465,-0.3429902246290794,-4.728218499003843,0.002698480617338017
14.120000000000001,0,-0.012424515429995505,0.0001514645327979199,0.0007531149288566611,0.00011979851658431434,0.0020007049425865633
14.120000000000001,1,0.06438530497612525,-0.3186246060875431,-0.3236508661500001,-4.463735653174741,0.002991167949136564
14.14,0,-0.01242101565599628,0.00019826570955419078,0.0007070508092504542,0.00012670780363437453,0.002649012130124296
14.14,1,0.05819809724819242,-0.30017452369032754,-0.30479699065583465,-4.205701551799039,0.0032582201344535378
14.16,0,-0.01241659497717054,0.00024355905884721027,0.0006599788204723502,0.00011646766665165346,0.0032933591572092908
14.16,1,0.05237513904264819,-0.282202096697601,-0.28644339875024744,-3.954330898613615,0.00350154484720111
14.18,0,-0.012411282574032175,0.00028747852909181965,0.0006119655605278164,9.046734032136516e-05,0.003934232066964111
14.18,1,0.0469067342784694,-0.2647214474774373,-0.2686037298165801,-3.709822873918887,0.00372260923476464
14.200000000000001,0,-0.012405102828707196,0.00033036457778016506,0.0005631539649389595,5.207838468027385e-05,0.004573025704242037
14.200000000000001,1,0.04178291475642828,-0.2477456721923619,-0.2512904900293971,-3.4723616781740985,0.003922267481031971
14.22,0,-0.012398071608278544,0.00037271879465474686,0.0005137463232441448,6.220021152969924e-06,0.005211843104013487
14.22,1,0.03699346035371438,-0.23128686965687903,-0.23451506706791808,-3.2421168268967224,0.004100651700416069
14.24,0,-0.012390193677537667,0.0004151375844413428,0.0004639802064698723,-4.1272302390327805e-05,0.0058531984845691274
14.24,1,0.03252791889996588,-0.21535614389939853,-0.21828772906663488,-3.019243151312251,0.004257136720671406
14.26,0,-0.012381461576147269,0.0004582336571005026,0.0004141002733693528,-8.439327478464674e-05,0.006499664474191683
14.26,1,0.028375626277993758,-0.1999635791631514,-0.20261760708770318,-2.803880490616985,0.004390382332865261
14.280000000000001,0,-0.01237185610203514,0.0005025556798219402,0.0003643294133886687,-0.00011773239854330746,0.00715351191605047
14.280000000000001,1,0.024525727289079653,-0.18511818894977092,-0.18751266221705332,-2.59615309452323,0.004498449226436829
