sample,condition_coframe,z,hessian_error,equation_error,lapse,shift_x
55,1.2913571362217549,1.0714138429118245,1.881530492008903e-16,1.1102230246251565e-16,1.0447603540353114,-0.07666405728181959
56,1.4632334449806483,1.081007622554791,4.1556354414836366e-16,1.6094131997896553e-16,0.8212064632920266,0.05924034677775069
57,1.407081410391833,1.0339986747723617,4.932727341551052e-16,5.551115123125783e-17,1.0576446344324317,-0.009066065999249114
58,1.5234425173469797,1.060218754173096,2.9492762952878737e-16,1.1102230246251565e-16,1.0024172065998396,-0.019956189150022556
59,1.3831204373406176,1.0387474278079645,3.2317885212074153e-16,1.0597082422724348e-16,0.9614664302247116,-0.10666771597136575
60,1.6073604144811664,1.0675614099760238,2.889327963992496e-16,6.06266837368831e-17,0.833411987998466,-0.14853551986211952
61,1.3295803969129254,1.0597086434004523,2.1615728581431268e-16,1.1102230246251565e-16,0.82930147016399,0.0700052745122156
62,1.2634822920916886,1.0514940249335676,2.0046251392266787e-16,5.551115123125783e-17,1.1821717167775054,-0.0032097895193146935
63,1.659329038805403,1.0389120465435275,1.5148404390304995e-16,0.0,1.1807664779357423,0.18572389341049955
64,1.573930307186243,1.1065093440849276,2.93163988379793e-16,9.127347009911195e-17,0.9796777101071903,-0.01947346614476825
65,1.2400408335629665,1.0608191585555846,2.6464094189896473e-16,1.9059216083786508e-16,0.8927859115459594,0.04629437199294111
66,1.39966298770144,1.0217359756803102,3.082797537617974e-16,1.1102230246251565e-16,1.023423833330637,-0.13216417383390736
67,1.2448890917032707,1.0766106183326358,3.2280415479670436e-16,2.0420930088508874e-16,1.1034483018161776,-0.0025455514812131597
68,1.475326933786921,1.0573776035206928,2.681684688033424e-16,0.0,1.1516075716691447,0.1841503383901693
69,1.3647300004624154,1.0606034232064228,1.819514563233998e-16,0.0,0.932253811232919,0.10337668260813283
70,1.400596254164573,1.0646763445363094,7.43048673107928e-16,1.1102230246251565e-16,1.183738768930992,-0.128822644939723
71,1.4069499392677176,1.0384422637259487,3.141639525625779e-16,1.2590959081877943e-16,0.857105423459567,-0.013448105680788079
72,1.5126111047437383,1.0691212112150184,2.8666068415600017e-16,5.39775081629614e-17,1.0547066275125654,0.1297161410660585
73,1.3950327406714969,1.0873868729353429,3.5686108389216876e-16,5.913836133518471e-17,0.9744933073885176,0.08491216320632679
74,1.4228964181775474,1.0346130333277097,3.249298649505303e-16,5.529041062942875e-17,0.8567748235365904,-0.12721865035955174
75,1.3664646681543067,1.0703545981191032,2.277321200074841e-16,1.1102230246251565e-16,1.0699074521485876,0.09776917577987232
76,1.3185879511802705,1.0166042856682622,3.28441509109493e-16,2.029956811562481e-16,1.0839535677286491,0.1784765216579921
77,1.3512886116493013,1.1212955104842677,2.9309589274221744e-16,1.4717560525798462e-16,1.0027928682101046,-0.11781930183988001
78,1.3580647994264718,1.0991041225391491,2.3741931016731286e-16,1.1102230246251565e-16,1.0258457160601235,-0.08609418329435448
79,1.362958545928536,1.0539752147774688,3.069570488312862e-16,1.4971229331146656e-16,0.8535302034769017,-0.02161981749188166
80,1.512872749909983,1.0480258169371657,4.613481581936082e-16,4.935596937067824e-17,1.075364032310706,0.08325277339066671
81,1.3229016181447222,1.0811490395003882,3.209321702103856e-16,7.028636377960249e-17,0.9558451641112897,0.1118113396212895
82,1.4544479036740592,1.0536492022595774,1.3817363021986049e-16,9.494802528914503e-17,0.8097304896829401,0.10317141549318952
83,1.567319162463438,1.0676686771366561,1.805497871748191e-16,9.293227290547571e-17,1.116203849250632,0.00743021633580865
84,1.2891501765954967,1.048342649235269,5.439449785885231e-16,2.7755575615628914e-17,1.0255639415534858,0.17566779016620085
85,1.4820843891276168,1.12215768144728,4.869240452815867e-16,1.2751702113177124e-16,1.1032357052657424,0.09551684895045282
86,1.4067742708288276,1.056181576104335,3.311923415355333e-16,1.8905510327304737e-17,1.1097872502218544,-0.005476045029730427
87,1.4712808603824357,1.0700849746314682,4.0715802792842504e-16,1.9392669801656742e-17,0.9346902393098063,-0.06999183730183109
88,1.4763809452153738,1.0613426113291926,3.390342350523979e-16,5.2515255131687113e-17,1.118746732741681,0.10494615155936704
89,1.4275233464041226,1.1339169259289266,5.219691035307991e-16,1.1165581614702194e-16,1.0904854258797578,0.13032859699837193
90,1.4785959322672837,1.107873257552149,4.166044482561234e-16,1.0688436688788115e-16,1.1185281717780664,0.07240749582914123
91,1.4428183124625695,1.080513441022796,4.576038463307899e-16,1.4756833974649497e-16,0.945338135857961,0.08568878732836611
92,1.5549273211328218,1.0582021741190148,2.8566474889209976e-16,1.652619488703287e-16,0.9029413825999295,0.08006277761415892
93,1.3646168271261694,1.0803505856038271,3.770280290068921e-16,2.048563201417017e-16,1.0300768377150908,-0.1687639591510261
94,1.4046596492621128,1.0602326605960346,4.612332903835412e-16,1.0524255467336861e-16,0.8568014091410727,-0.16753037070249435
95,1.3613290153381967,1.0562931031929492,3.2997528131994914e-16,4.3619901250071244e-17,0.897884428013345,-0.003166542698646301
96,1.4310946454167464,1.0378108458648203,3.121920129319791e-16,1.6312056900928926e-16,0.8541514568137153,0.036511078981415805
97,1.4307099856952241,1.0790611421577532,5.103282907195044e-16,1.5387939905037536e-16,1.0484684336858674,-0.105621043885957
98,1.423040338177894,1.1004414922704926,3.4241418325027877e-16,6.244024917454145e-17,0.921137028497188,0.10795733765083176
99,1.5372395783825679,1.1768059851820005,5.322572469778815e-16,4.88386164074601e-16,0.8868660505587502,0.14543619539657784
100,1.3324818454201492,1.0437168944987378,2.3823983259383247e-16,1.3815556807505327e-16,1.0679389647001876,0.11154451736179916
101,1.4061464188112327,1.0371884575517918,3.1580484174625015e-16,1.7775045176339018e-16,1.0613627971843198,-0.1009558781922072
