preparation,time,local_chi,mode_coordinate,mode_momentum,mode_energy_fraction,charge_fraction,charge_balance_fraction,total_energy,outer_energy_sink,core_peak
fine,1080.6,0.0009958022713378858,0.0009959139794092156,3.7262537068900695e-05,0.9999949436670533,0.9999999994917274,2.2372768202934083e-15,2616.3292210454197,2.1842864301037807e-06,0.7426165483171021
fine,1080.8,0.000999854942947245,0.0009999667137931888,3.2413322219675057e-06,0.9999950988826788,0.9999999994917259,2.397082307457223e-15,2616.3292212127803,2.1842908111641205e-06,0.7426163273154599
fine,1081.0,0.000997097828576845,0.000997209056925864,-3.080191868553914e-05,0.9999949866139347,0.9999999994917245,2.556887794621038e-15,2616.329221666906,2.1842949676640294e-06,0.7426159756923831
fine,1081.2,0.0009875497018790337,0.0009876597987163325,-6.463533443744542e-05,0.999994572182614,0.9999999994917227,2.2372768202934083e-15,2616.3292223479993,2.184299015750084e-06,0.7426155394998684
fine,1081.4,0.0009712756087301545,0.0009713839883929202,-9.802847167982883e-05,0.9999938065048148,0.9999999994917212,2.397082307457223e-15,2616.3292231660903,2.1843031780585667e-06,0.7426150719562088
fine,1081.6,0.0009483864211296941,0.000948492489404618,-0.00013075389728516108,0.9999926445629788,0.9999999994917199,2.7166932817848528e-15,2616.3292240129126,2.1843076215677476e-06,0.7426146275341393
fine,1081.8,0.0009190380768073792,0.0009191412219201875,-0.00016258873814333947,0.9999910654846069,0.9999999994917185,2.7166932817848528e-15,2616.3292247762543,2.1843125364094487e-06,0.7426142564059662
fine,1082.0,0.0008834305106263845,0.0008835300985189227,-0.00019331619768995926,0.9999890884200504,0.9999999994917169,2.7166932817848528e-15,2616.3292253548498,2.1843178937842966e-06,0.7426139996481158
fine,1082.2,0.000841806286120913,0.0008419016607413733,-0.00022272702912779432,0.9999867794855289,0.999999999491715,2.397082307457223e-15,2616.3292256718323,2.1843236873318337e-06,0.7426138854768786
fine,1082.4,0.0007944489375033939,0.0007945394261108926,-0.00025062095595467665,0.9999842474474377,0.9999999994917137,2.556887794621038e-15,2616.329225684975,2.18432989823109e-06,0.74261392669139
fine,1082.6,0.0007416810342270515,0.0007417659570533409,-0.00027680803100378143,0.9999816289040785,0.9999999994917121,2.556887794621038e-15,2616.3292253923337,2.1843362618125567e-06,0.7426141194437019
fine,1082.8,0.0006838619817284912,0.00068394066485104,-0.0003011099256807952,0.9999790666133794,0.9999999994917107,2.556887794621038e-15,2616.3292248325274,2.1843425333428887e-06,0.7426144434219073
fine,1083.0,0.0006213855733681755,0.0006214573633930922,-0.0003233611414323691,0.9999766865107262,0.9999999994917093,2.556887794621038e-15,2616.329224079642,2.1843485077311333e-06,0.7426148634938755
fine,1083.2,0.0005546773099041703,0.0005547415890513794,-0.0003434101357255361,0.9999745793266965,0.9999999994917076,2.556887794621038e-15,2616.329223233402,2.184354139432494e-06,0.7426153328105987
fine,1083.4,0.0004841915041444251,0.0004842477045357106,-0.00036112035501489426,0.9999727914446439,0.9999999994917063,2.556887794621038e-15,2616.3292224059273,2.184359228580899e-06,0.7426157972652606
fine,1083.6,0.0004104081897611675,0.0004104558060648265,-0.0003763711674001884,0.9999713270850539,0.9999999994917048,2.556887794621038e-15,2616.329221706855,2.1843638137324897e-06,0.7426162010669066
fine,1083.8,0.000333829854628936,0.0003338684546184217,-0.0003890586880122159,0.9999701607798203,0.9999999994917032,2.556887794621038e-15,2616.329221228764,2.1843679493359564e-06,0.7426164930051484
fine,1084.0,0.00025497802043260987,0.00025500725337998645,-0.0003990964906771145,0.9999692562777129,0.9999999994917016,2.397082307457223e-15,2616.3292210348995,2.184371802169614e-06,0.7426166328005555
fine,1084.2,0.0001743896916273259,0.00017440929470124875,-0.00040641620013739997,0.9999685862899039,0.9999999994917002,2.397082307457223e-15,2616.329221150786,2.1843756273364974e-06,0.7426165967814752
